"SRA_Run","Gene_Name","HIGH","LOW","MODERATE","MODIFIER"
"SRR11445484","armR",0,2,2,0
"SRR11445484","arnA",0,7,3,0
"SRR11445484","arnB",0,5,6,0
"SRR11445484","arnC",0,3,1,0
"SRR11445484","arnD",0,5,3,0
"SRR11445484","arnE",0,2,1,0
"SRR11445484","arnF",0,3,0,0
"SRR11445484","arnT",0,9,5,0
"SRR11445484","aroB",0,3,2,0
"SRR11445484","aroC",0,4,0,0
"SRR11445484","aroC-PA1682",0,0,0,2
"SRR11445484","aroE",0,14,2,0
"SRR11445484","aroE-plcB",0,0,0,3
"SRR11445484","aroK",0,1,0,0
"SRR11445484","aroP1",0,16,2,0
"SRR11445484","aroP1-PA3001",0,0,0,1
"SRR11445484","aroP2",0,5,1,0
"SRR11445484","aroP2-mliC",0,0,0,2
"SRR11445484","aroQ1",0,1,0,0
"SRR11445484","aroQ2",0,3,0,0
"SRR11445484","aruB",0,21,0,0
"SRR11445484","aruC",0,7,1,0
"SRR11445484","aruC-aruF",0,0,0,2
"SRR11445484","aruD",0,20,5,0
"SRR11445484","aruE",0,10,2,0
"SRR11445484","aruE-PA0902",0,0,0,1
"SRR11445484","aruF",0,11,1,0
"SRR11445484","aruG",0,9,1,0
"SRR11445484","aruH",0,13,4,0
"SRR11445484","aruI",0,10,4,0
"SRR11445484","aruI-PA4978",0,0,0,2
"SRR11445484","asd",0,11,0,0
"SRR11445484","aspA",0,12,0,0
"SRR11445484","aspA-PA5430",0,0,0,1
"SRR11445484","aspP",0,5,0,0
"SRR11445484","aspP-PA4972",0,0,0,4
"SRR11445484","aspS",0,22,0,0
"SRR11445484","aspS-pmpR",0,0,0,1
"SRR11445484","atoB",0,5,3,0
"SRR11445484","atpA",0,7,0,0
"SRR11445484","atpB",0,3,0,0
"SRR11445484","atpC",0,1,0,0
"SRR11445484","atpD",0,9,0,0
"SRR11445484","atpI",0,1,0,0
"SRR11445484","atsA",0,4,1,0
"SRR11445484","atuA",0,5,4,0
"SRR11445484","atuB",0,3,1,0
"SRR11445484","atuC",0,10,2,0
"SRR11445484","atuC-atuD",0,0,0,1
"SRR11445484","atuD",0,4,0,0
"SRR11445484","atuE",0,0,2,0
"SRR11445484","atuF",0,10,3,0
"SRR11445484","atuF-atuG",0,0,0,1
"SRR11445484","atuG",0,2,1,0
"SRR11445484","atuH",0,4,2,0
"SRR11445484","atuH-PA2894",0,0,0,2
"SRR11445484","atuR",0,2,0,0
"SRR11445484","atuR-atuA",0,0,0,2
"SRR11445484","azoR1",0,2,2,0
"SRR11445484","azoR2",0,2,1,0
"SRR11445484","azoR3",0,11,5,0
"SRR11445484","azoR3-PA3224",0,0,0,4
"SRR11445484","azu",0,1,0,0
"SRR11445484","azu-PA4923",0,0,0,1
"SRR11445484","bacA",0,9,6,0
"SRR11445484","bacA-PA1960",0,0,0,4
"SRR11445484","bcp",0,2,2,0
"SRR11445484","bcp-PA1009",0,0,0,1
"SRR11445484","bdhA",0,6,3,0
"SRR11445484","bdhA-PA2004",0,0,0,1
"SRR11445484","bdlA",0,19,4,0
"SRR11445484","bdlA-PA1424",0,0,0,16
"SRR11445484","betA",0,4,1,0
"SRR11445484","betB",0,6,1,0
"SRR11445484","betC",0,12,1,0
"SRR11445484","betI",0,3,0,0
"SRR11445484","betT1",0,12,3,0
"SRR11445484","betT1-PA5376",0,0,0,14
"SRR11445484","bexR",0,6,0,0
"SRR11445484","bexR-PA2433",0,0,0,1
"SRR11445484","bfiR",0,0,3,0
"SRR11445484","bfiS",0,6,3,0
"SRR11445484","bfiS-PA4198",0,0,0,3
"SRR11445484","bfrA",0,4,0,0
"SRR11445484","bfrB",0,6,0,0
"SRR11445484","bfrB-PA3532",0,0,0,2
"SRR11445484","bglX",0,32,2,0
"SRR11445484","bglX-mucR",0,0,0,2
"SRR11445484","bifA",1,11,0,0
"SRR11445484","bioA",0,4,0,0
"SRR11445484","bioA-PA0421",0,0,0,2
"SRR11445484","bioB",0,14,0,0
"SRR11445484","bioB-bioF",0,0,0,1
"SRR11445484","bioD",0,13,3,0
"SRR11445484","bioD-PA0505",0,0,0,4
"SRR11445484","bioF",0,17,1,0
"SRR11445484","birA",0,9,5,0
"SRR11445484","birA-PA4280.1",0,0,0,2
"SRR11445484","blc",0,3,2,0
"SRR11445484","bolA",0,1,2,0
"SRR11445484","bphO",0,1,3,0
"SRR11445484","bphP",0,5,3,0
"SRR11445484","braB",0,5,4,0
"SRR11445484","braB-PA1591",0,0,0,1
"SRR11445484","braC",0,5,1,0
"SRR11445484","braC-PA1075",0,0,0,1
"SRR11445484","braD",0,8,0,0
"SRR11445484","braE",0,8,0,0
"SRR11445484","braF",0,2,0,0
"SRR11445484","braG",0,2,0,0
"SRR11445484","braZ",0,13,1,0
"SRR11445484","braZ-PA1972",0,0,0,17
"SRR11445484","cafA",0,6,0,0
"SRR11445484","capB",0,0,1,0
"SRR11445484","carA",0,9,0,0
"SRR11445484","carB",0,14,0,0
"SRR11445484","cat",0,6,4,0
"SRR11445484","cat-toxR",0,0,0,1
"SRR11445484","catA",0,11,1,0
"SRR11445484","catB",0,7,1,0
"SRR11445484","catB-catR",0,0,0,3
"SRR11445484","catC",0,1,0,0
"SRR11445484","catC-catB",0,0,0,2
"SRR11445484","catR",0,6,0,0
"SRR11445484","cbiD",0,5,5,0
"SRR11445484","cbpA",0,2,0,0
"SRR11445484","cbpD",0,11,4,0
"SRR11445484","cbrA",0,27,1,0
"SRR11445484","cbrB",0,8,1,0
"SRR11445484","cc4",0,1,0,0
"SRR11445484","cca",0,6,3,0
"SRR11445484","ccmA",0,4,2,0
"SRR11445484","ccmB",0,3,1,0
"SRR11445484","ccmB-ccmC",0,0,0,2
"SRR11445484","ccmC",0,5,0,0
"SRR11445484","ccmE",0,3,1,0
"SRR11445484","ccmF",0,5,1,0
"SRR11445484","ccmG",0,3,0,0
"SRR11445484","ccmH",0,3,0,0
"SRR11445484","ccoN1",0,7,0,0
"SRR11445484","ccoN1-ccoP2",0,0,0,2
"SRR11445484","ccoN2",0,3,0,0
"SRR11445484","ccoO2",0,5,0,0
"SRR11445484","ccoP1",0,2,0,0
"SRR11445484","ccoP2",0,2,0,0
"SRR11445484","ccpR",0,4,1,0
"SRR11445484","ccpR-gdhA",0,0,0,3
"SRR11445484","cdhA",0,4,2,0
"SRR11445484","cdhA-cdhC",0,0,0,1
"SRR11445484","cdhB",0,1,4,0
"SRR11445484","cdhC",0,7,1,0
"SRR11445484","cdhR",0,4,0,0
"SRR11445484","cdsA",0,8,0,0
"SRR11445484","cheZ",0,5,0,0
"SRR11445484","cheZ-PA1458",0,0,0,1
"SRR11445484","chiC",0,13,1,0
"SRR11445484","chiC-PA2301",0,0,0,10
"SRR11445484","chpA",0,60,24,0
"SRR11445484","chpB",0,10,2,0
"SRR11445484","chpC",0,1,2,0
"SRR11445484","chpD",0,4,0,0
"SRR11445484","chpD-chpE",0,0,0,3
"SRR11445484","chpE",0,9,1,0
"SRR11445484","chpE-PA0418",0,0,0,1
"SRR11445484","CHR_START-dnaA",0,0,0,3
"SRR11445484","cif",0,5,2,0
"SRR11445484","cifR",0,2,0,0
"SRR11445484","cifR-morB",0,0,0,1
"SRR11445484","cioA",0,5,1,0
"SRR11445484","cioA-PA3931",0,0,0,3
"SRR11445484","cioB",0,3,0,0
"SRR11445484","citA",0,10,0,0
"SRR11445484","citA-PA5477",0,0,0,9
"SRR11445484","clpA",0,16,0,0
"SRR11445484","clpB",0,19,0,0
"SRR11445484","clpP",0,4,0,0
"SRR11445484","clpV1",0,17,5,0
"SRR11445484","clpX",0,7,0,0
"SRR11445484","cls",0,7,0,0
"SRR11445484","cls-PA5395",0,0,0,1
"SRR11445484","cmaX",0,9,0,0
"SRR11445484","cmaX-crfX",0,0,0,1
"SRR11445484","cmk",0,16,1,0
"SRR11445484","cmpX",0,4,0,0
"SRR11445484","coaC",0,4,1,0
"SRR11445484","coaD",0,1,0,0
"SRR11445484","coaD-PA0364",0,0,0,1
"SRR11445484","coaE",0,4,0,0
"SRR11445484","cobA",0,3,0,0
"SRR11445484","cobB",0,17,1,0
"SRR11445484","cobC",0,11,2,0
"SRR11445484","cobD",0,5,4,0
"SRR11445484","cobH",0,3,0,0
"SRR11445484","cobI",0,4,0,0
"SRR11445484","cobJ",0,11,5,0
"SRR11445484","cobL",0,12,4,0
"SRR11445484","cobM",0,3,0,0
"SRR11445484","cobM-PA2949",0,0,0,1
"SRR11445484","cobN",0,34,8,0
"SRR11445484","cobO",0,3,0,0
"SRR11445484","cobO-cobB",0,0,0,1
"SRR11445484","cobP",0,4,2,0
"SRR11445484","cobQ",0,6,1,0
"SRR11445484","cobU",0,10,6,0
"SRR11445484","cobV",0,6,2,0
"SRR11445484","codA",0,4,2,0
"SRR11445484","codB",0,12,0,0
"SRR11445484","codB-PA0439",0,0,0,2
"SRR11445484","coIII",0,3,0,0
"SRR11445484","comL",0,5,0,0
"SRR11445484","comL-pilS",0,0,0,2
"SRR11445484","copR",0,2,0,0
"SRR11445484","copS",0,16,1,0
"SRR11445484","copS-PA2811",0,0,0,3
"SRR11445484","corA",0,6,1,0
"SRR11445484","coxA",0,9,0,0
"SRR11445484","coxA-PA0107",0,0,0,1
"SRR11445484","coxB",0,7,0,0
"SRR11445484","cpdA",0,20,4,0
"SRR11445484","cpdA-PA4970",0,0,0,3
"SRR11445484","cpg2",1,1,0,0
"SRR11445484","cpo",0,4,1,0
"SRR11445484","crc",0,4,0,0
"SRR11445484","crc-PA5333",0,0,0,2
"SRR11445484","crcZ",0,0,0,2
"SRR11445484","creB",0,3,1,0
"SRR11445484","creC",0,15,1,0
"SRR11445484","creD",0,6,4,0
"SRR11445484","creD-PA0466",0,0,0,1
"SRR11445484","crfX",0,1,1,0
"SRR11445484","csaA",0,10,3,0
"SRR11445484","cti",0,19,6,0
"SRR11445484","cti-PA1847",0,0,0,4
"SRR11445484","cttP",0,5,6,0
"SRR11445484","cttP-PA0181",0,0,0,5
"SRR11445484","cueR",0,5,0,0
"SRR11445484","cueR-PA4779",0,0,0,8
"SRR11445484","cupA1",0,0,1,0
"SRR11445484","cupA1-cupA2",0,0,0,1
"SRR11445484","cupA2",0,2,1,0
"SRR11445484","cupA3",0,16,12,0
"SRR11445484","cupA4",0,13,11,0
"SRR11445484","cupA5",0,0,1,0
"SRR11445484","cupB1",0,2,10,0
"SRR11445484","cupB1-PA4087",0,0,0,13
"SRR11445484","cupB2",0,6,3,0
"SRR11445484","cupB3",0,19,5,0
"SRR11445484","cupB4",0,4,3,0
"SRR11445484","cupB5",0,25,20,0
"SRR11445484","cupB6",0,2,4,0
"SRR11445484","cupB6-cupB5",0,0,0,1
"SRR11445484","cupC1",0,9,12,0
"SRR11445484","cupC1-cupC2",0,0,0,4
"SRR11445484","cupC2",0,12,6,0
"SRR11445484","cupC2-cupC3",0,0,0,3
"SRR11445484","cupC3",0,26,11,0
"SRR11445484","cupC3-ogt",0,0,0,1
"SRR11445484","cyaA",0,25,3,0
"SRR11445484","cyaB",0,10,1,0
"SRR11445484","cyaB-PA3219",0,0,0,15
"SRR11445484","cycB",0,1,0,0
"SRR11445484","cycH",0,10,2,0
"SRR11445484","cynR",0,5,0,0
"SRR11445484","cynS",0,3,2,0
"SRR11445484","cynS-cynT",0,0,0,1
"SRR11445484","cynT",0,5,1,0
"SRR11445484","cynT-cynR",0,0,0,2
"SRR11445484","cyoA",0,3,0,0
"SRR11445484","cyoB",0,6,1,0
"SRR11445484","cyoC",0,3,0,0
"SRR11445484","cyoE",0,5,0,0
"SRR11445484","cyoE-PA1322",0,0,0,3
"SRR11445484","cysA",0,5,0,0
"SRR11445484","cysB",0,4,0,0
"SRR11445484","cysC",0,3,4,0
"SRR11445484","cysC-PA1394",0,0,0,6
"SRR11445484","cysD",0,4,0,0
"SRR11445484","cysD-mltB1",0,0,0,2
"SRR11445484","cysE",0,17,1,0
"SRR11445484","cysG",0,2,3,0
"SRR11445484","cysH",0,4,1,0
"SRR11445484","cysI",0,20,2,0
"SRR11445484","cysI-PA1837a",0,0,0,3
"SRR11445484","cysK",0,3,0,0
"SRR11445484","cysM",0,4,0,0
"SRR11445484","cysN",0,18,1,0
"SRR11445484","cysP",0,6,0,0
"SRR11445484","cysP-PA1494",0,0,0,1
"SRR11445484","cysQ",0,4,2,0
"SRR11445484","cysS",0,7,1,0
"SRR11445484","cysT",0,5,0,0
"SRR11445484","cysW",0,6,0,0
"SRR11445484","czcA",0,12,4,0
"SRR11445484","czcB",0,7,0,0
"SRR11445484","czcC",0,11,1,0
"SRR11445484","czcC-PA2523",0,0,0,5
"SRR11445484","dacC",0,6,0,0
"SRR11445484","dadA",0,17,2,0
"SRR11445484","dadA-PA5305",0,0,0,16
"SRR11445484","dadX",0,5,2,0
"SRR11445484","dapA",0,3,0,0
"SRR11445484","dapB",0,6,0,0
"SRR11445484","dapB-dnaJ",0,0,0,1
"SRR11445484","dapD",0,5,1,0
"SRR11445484","dapD-PA3667",0,0,0,1
"SRR11445484","dapE",0,10,0,0
"SRR11445484","dapE-ndvB",0,0,0,1
"SRR11445484","dapF",0,5,1,0
"SRR11445484","dapF-PA5279",0,0,0,1
"SRR11445484","dauA",0,7,1,0
"SRR11445484","dauA-dauR",0,0,0,1
"SRR11445484","dauB",0,9,4,0
"SRR11445484","dauB-dauA",0,0,0,1
"SRR11445484","dauR",0,5,1,0
"SRR11445484","dauR-PA3865",0,0,0,1
"SRR11445484","dbpA",0,7,1,0
"SRR11445484","dbpA-PA0456",0,0,0,1
"SRR11445484","dctA",0,1,0,0
"SRR11445484","ddlA",0,5,1,0
"SRR11445484","ddlA-PA4202",0,0,0,1
"SRR11445484","ddlB",0,3,1,0
"SRR11445484","def",0,2,1,0
"SRR11445484","desA",0,12,0,0
"SRR11445484","desA-gpuP",0,0,0,5
"SRR11445484","desB",0,11,2,0
"SRR11445484","desT",0,5,1,0
"SRR11445484","desT-ureE",0,0,0,6
"SRR11445484","dgcA",0,15,1,0
"SRR11445484","dgcA-dgcB",0,0,0,4
"SRR11445484","dgcB",0,15,1,0
"SRR11445484","dgcB-PA5400",0,0,0,1
"SRR11445484","dgt",0,12,3,0
"SRR11445484","dhcA",0,4,0,0
"SRR11445484","dhcB",0,5,0,0
"SRR11445484","dhcR",0,4,3,0
"SRR11445484","dht",0,7,1,0
"SRR11445484","dht-PA0442",0,0,0,2
"SRR11445484","dinB",0,2,1,0
"SRR11445484","dipZ",0,11,6,0
"SRR11445484","dksA",0,1,0,0
"SRR11445484","dnaA",0,8,0,0
"SRR11445484","dnaB",0,17,2,0
"SRR11445484","dnaE",0,18,0,0
"SRR11445484","dnaE-PA3641",0,0,0,2
"SRR11445484","dnaG",0,13,3,0
"SRR11445484","dnaJ",0,14,0,0
"SRR11445484","dnaJ-dnaK",0,0,0,1
"SRR11445484","dnaK",0,3,0,0
"SRR11445484","dnaN",0,3,0,0
"SRR11445484","dnaN-recF",0,0,0,2
"SRR11445484","dnaQ",0,4,0,0
"SRR11445484","dnaX",0,9,9,0
"SRR11445484","dnr",0,1,1,0
"SRR11445484","dsbA",0,1,0,0
"SRR11445484","dsbB",0,4,1,0
"SRR11445484","dsbB-PA0539",0,0,0,8
"SRR11445484","dsbC",0,7,0,0
"SRR11445484","dsbC-xerD",0,0,0,1
"SRR11445484","dsbG",0,3,0,0
"SRR11445484","dsbH",0,4,0,0
"SRR11445484","dsbH-PA5257",0,0,0,6
"SRR11445484","dsdA",0,9,4,0
"SRR11445484","dut",0,6,3,0
"SRR11445484","dxr",0,10,1,0
"SRR11445484","dxs",0,21,0,0
"SRR11445484","dxs-PA4045",0,0,0,7
"SRR11445484","eco",0,1,1,0
"SRR11445484","eco-PA2756",0,0,0,1
"SRR11445484","edd",0,20,0,0
"SRR11445484","edd-gapA",0,0,0,1
"SRR11445484","eddA",0,17,1,0
"SRR11445484","eddA-PA3911",0,0,0,1
"SRR11445484","eddB",0,13,5,0
"SRR11445484","eddB-eddA",0,0,0,1
"SRR11445484","efp",0,2,0,0
"SRR11445484","endA",0,4,0,0
"SRR11445484","eno",0,3,0,0
"SRR11445484","epd",0,5,0,0
"SRR11445484","era",0,5,0,0
"SRR11445484","era-recO",0,0,0,1
"SRR11445484","eraR",0,6,6,0
"SRR11445484","eraR-PA1981",0,0,0,1
"SRR11445484","eraS",0,2,3,0
"SRR11445484","eraS-eraR",0,0,0,2
"SRR11445484","ercS",0,23,0,0
"SRR11445484","ercS-PA1993",0,0,0,1
"SRR11445484","ercS'",0,25,4,0
"SRR11445484","erdR",0,3,0,0
"SRR11445484","estA",0,11,0,0
"SRR11445484","estA-PA5113",0,0,0,1
"SRR11445484","estX",0,8,3,0
"SRR11445484","estX-PA1772",0,0,0,1
"SRR11445484","etfA",0,4,0,0
"SRR11445484","etfB",0,1,0,0
"SRR11445484","eutB",0,9,0,0
"SRR11445484","exaA",0,5,0,0
"SRR11445484","exaA-exaB",0,0,0,5
"SRR11445484","exaB",0,0,2,0
"SRR11445484","exaC",0,6,3,0
"SRR11445484","exaC-pqqA",0,0,0,4
"SRR11445484","exbB1",0,2,1,0
"SRR11445484","exbB2",0,9,2,0
"SRR11445484","exbD1-PA0200",0,0,0,6
"SRR11445484","exoS",1,0,0,0
"SRR11445484","exoT",0,8,0,0
"SRR11445484","exoT-PA0045",0,0,0,14
"SRR11445484","exoY",1,6,5,0
"SRR11445484","exoY-PA2192",0,0,0,2
"SRR11445484","exsA",0,4,0,0
"SRR11445484","exsB",0,9,3,0
"SRR11445484","exsB-exsA",0,0,0,1
"SRR11445484","exsC",0,11,0,0
"SRR11445484","exsC-PA1711",0,0,0,1
"SRR11445484","exsD",0,8,2,0
"SRR11445484","fabA",0,2,0,0
"SRR11445484","fabB",0,3,2,0
"SRR11445484","fabD",0,20,1,0
"SRR11445484","fabF1",0,4,0,0
"SRR11445484","fabF1-acpP",0,0,0,1
"SRR11445484","fabF2",0,9,3,0
"SRR11445484","fabF2-PA1374",0,0,0,1
"SRR11445484","fabH2",0,7,2,0
"SRR11445484","fabI",0,2,0,0
"SRR11445484","fabZ",0,2,0,0
"SRR11445484","fadD1",0,13,0,0
"SRR11445484","fadD2",0,10,2,0
"SRR11445484","fadD2-PA3301",0,0,0,5
"SRR11445484","fadH1",0,38,4,0
"SRR11445484","fadH1-PA3093",0,0,0,2
"SRR11445484","fadH2",0,21,7,0
"SRR11445484","fadH2-PA4815",0,0,0,11
"SRR11445484","fahA",0,17,2,0
"SRR11445484","fahA-hmgA",0,0,0,1
"SRR11445484","faoA",0,6,0,0
"SRR11445484","faoA-PA3015",0,0,0,1
"SRR11445484","fbp",0,2,1,0
"SRR11445484","fbp-gloA3",0,0,0,1
"SRR11445484","fda",0,5,0,0
"SRR11445484","fdhA",0,14,0,0
"SRR11445484","fdhA-PA5422",0,0,0,3
"SRR11445484","fdhE",0,1,2,0
"SRR11445484","fdnG",0,10,2,0
"SRR11445484","fdnH",0,4,0,0
"SRR11445484","fdnI",0,4,0,0
"SRR11445484","fdx1",0,2,0,0
"SRR11445484","fdx1-coaD",0,0,0,2
"SRR11445484","fdx2",0,2,0,0
"SRR11445484","fdxA",0,1,0,0
"SRR11445484","fdxA-rsmZ",0,0,0,1
"SRR11445484","fecA",0,14,6,0
"SRR11445484","fecA-PA3902",0,0,0,5
"SRR11445484","femA",0,11,6,0
"SRR11445484","femA-femR",0,0,0,2
"SRR11445484","femI",0,2,0,0
"SRR11445484","femR",0,8,5,0
"SRR11445484","fepB",0,7,3,0
"SRR11445484","fepB-fepD",0,0,0,2
"SRR11445484","fepC",0,6,0,0
"SRR11445484","fepC-fepB",0,0,0,1
"SRR11445484","fepD",0,13,3,0
"SRR11445484","fepG",0,1,1,0
"SRR11445484","fepG-PA4162",0,0,0,1
"SRR11445484","ffh",0,12,0,0
"SRR11445484","ffs",0,0,0,8
"SRR11445484","fgtA",0,11,11,0
"SRR11445484","fha1",0,9,4,0
"SRR11445484","fha1-PA0082",0,0,0,4
"SRR11445484","fhp",0,3,2,0
"SRR11445484","fhp-PA2665",0,0,0,1
"SRR11445484","fimL",0,8,1,0
"SRR11445484","fimT",0,1,1,0
"SRR11445484","fimT-fimU",0,0,0,1
"SRR11445484","fimU",0,1,1,0
"SRR11445484","fimV",1,26,10,0
"SRR11445484","fimW",0,25,8,0
"SRR11445484","fimX",0,15,0,0
"SRR11445484","fimX-PA4960",0,0,0,1
"SRR11445484","fis",0,2,0,0
"SRR11445484","fiuA",0,30,11,0
"SRR11445484","fiuA-PA0471",0,0,0,1
"SRR11445484","fklB",0,6,0,0
"SRR11445484","fklB-PA4573",0,0,0,1
"SRR11445484","fleN",0,5,0,0
"SRR11445484","fleQ",0,13,0,0
"SRR11445484","fleR",0,6,0,0
"SRR11445484","fleR-fliE",0,0,0,1
"SRR11445484","fleS",0,13,0,0
"SRR11445484","flgB",0,1,1,0
"SRR11445484","flgD",0,3,0,0
"SRR11445484","flgE",0,7,1,0
"SRR11445484","flgE-flgF",0,0,0,11
"SRR11445484","flgF",0,6,0,0
"SRR11445484","flgG",0,6,0,0
"SRR11445484","flgH",0,8,2,0
"SRR11445484","flgI",0,4,1,0
"SRR11445484","flgJ",0,9,1,0
"SRR11445484","flgK",0,90,38,0
"SRR11445484","flgK-flgL",0,0,0,2
"SRR11445484","flgL",0,34,22,0
"SRR11445484","flgM",0,5,0,0
"SRR11445484","flhA",0,16,1,0
